condition,trust,perceived_verif,adopt_wrong,clicked_source
C1_none,3.935,1.946,0,0
C1_none,2.456,3.959,0,0
C1_none,4.425,1.972,0,0
C1_none,4.635,3.285,1,0
C1_none,1.454,1.280,0,0
C1_none,2.168,2.153,0,0
C1_none,3.741,1.260,1,0
C1_none,3.252,1.993,1,0
C1_none,3.582,3.408,0,0
C1_none,2.662,1.000,1,0
C1_none,4.567,2.921,1,0
C1_none,4.456,2.685,1,0
C1_none,3.673,1.687,0,0
C1_none,4.840,1.000,0,0
C1_none,4.114,2.487,1,0
C1_none,2.655,1.765,0,0
C1_none,4.006,2.679,0,0
C1_none,2.545,2.426,0,0
C1_none,4.566,4.322,1,0
C1_none,3.545,2.113,1,0
C1_none,3.397,1.172,0,0
C1_none,2.851,2.615,1,0
C1_none,4.945,2.664,0,0
C1_none,3.430,4.031,1,0
C1_none,3.129,3.402,1,0
C1_none,3.213,2.828,0,0
C1_none,4.186,4.156,0,0
C1_none,4.002,1.000,0,0
C1_none,4.054,1.632,1,0
C1_none,4.074,1.288,1,0
C1_none,5.956,1.932,1,0
C1_none,3.153,1.000,1,0
C1_none,3.037,3.162,0,0
C1_none,2.705,2.133,1,0
C1_none,4.278,1.000,0,0
C1_none,4.842,1.181,0,0
C1_none,3.475,2.776,1,0
C1_none,2.676,3.406,1,0
C1_none,2.693,4.796,0,0
C1_none,4.316,5.897,0,0
C1_none,4.418,2.897,1,0
C1_none,4.197,1.213,1,0
C1_none,2.868,1.000,1,0
C1_none,3.855,2.721,0,0
C1_none,3.728,1.424,0,0
C1_none,3.841,1.902,0,0
C1_none,4.559,1.665,1,0
C1_none,3.846,2.231,1,0
C1_none,4.347,3.679,0,0
C1_none,3.674,2.588,0,0
C1_none,3.918,2.210,0,0
C1_none,4.294,1.157,1,0
C1_none,1.997,1.000,1,0
C1_none,3.248,1.816,0,0
C1_none,3.083,2.335,0,0
C1_none,2.897,4.522,1,0
C1_none,3.297,2.556,0,0
C1_none,5.244,3.579,1,0
C1_none,2.648,1.801,0,0
C1_none,4.665,1.000,0,0
C1_none,1.749,1.242,1,0
C1_none,3.232,1.530,0,0
C1_none,3.779,4.954,0,0
C1_none,4.245,1.414,0,0
C1_none,4.382,3.406,0,0
C1_none,4.473,1.316,0,0
C1_none,3.216,3.518,0,0
C1_none,3.091,2.862,0,0
C1_none,4.544,2.212,0,0
C1_none,3.390,2.351,1,0
C1_none,2.197,1.614,1,0
C1_none,2.353,2.935,0,0
C1_none,2.589,1.854,0,0
C1_none,4.147,1.000,0,0
C1_none,3.757,1.000,1,0
C1_none,4.360,2.607,1,0
C1_none,3.130,4.295,0,0
C1_none,3.774,2.592,0,0
C1_none,4.288,2.258,0,0
C1_none,3.260,2.743,0,0
C1_none,4.102,3.967,1,0
C1_none,2.872,2.663,0,0
C1_none,3.201,1.907,0,0
C1_none,3.180,3.728,0,0
C1_none,2.285,2.915,0,0
C1_none,4.136,4.243,0,0
C1_none,3.084,2.620,1,0
C1_none,3.614,1.000,0,0
C1_none,4.129,1.000,1,0
C1_none,4.091,4.381,0,0
C1_none,4.332,4.468,1,0
C1_none,3.492,2.185,1,0
C1_none,3.134,1.940,1,0
C1_none,3.512,4.154,1,0
C1_none,1.744,1.072,1,0
C1_none,2.008,1.326,1,0
C1_none,2.145,3.172,1,0
C1_none,2.503,1.926,0,0
C1_none,4.040,2.394,0,0
C1_none,2.604,2.204,0,0
C2_fake,4.181,4.257,0,0
C2_fake,5.205,5.145,0,0
C2_fake,5.472,4.230,1,0
C2_fake,4.852,5.723,1,0
C2_fake,5.536,2.402,1,0
C2_fake,4.952,4.197,0,0
C2_fake,5.283,2.211,1,0
C2_fake,3.925,2.806,0,0
C2_fake,4.502,6.237,1,0
C2_fake,4.916,5.674,0,0
C2_fake,5.603,3.737,1,0
C2_fake,4.267,2.797,0,0
C2_fake,5.273,1.043,1,0
C2_fake,4.408,3.948,1,0
C2_fake,4.571,7.000,0,0
C2_fake,5.612,5.122,0,0
C2_fake,2.508,3.929,0,0
C2_fake,3.274,5.158,1,0
C2_fake,3.070,2.727,1,0
C2_fake,2.133,4.243,1,0
C2_fake,3.954,4.719,1,0
C2_fake,5.524,4.497,0,0
C2_fake,4.387,5.549,0,1
C2_fake,4.918,5.014,0,0
C2_fake,5.898,5.402,0,0
C2_fake,6.160,3.774,0,0
C2_fake,4.624,5.677,0,0
C2_fake,6.189,6.555,1,0
C2_fake,4.801,3.436,1,0
C2_fake,3.779,3.535,1,0
C2_fake,4.046,6.203,0,0
C2_fake,3.071,4.370,1,0
C2_fake,3.723,6.285,1,0
C2_fake,4.306,4.069,0,0
C2_fake,5.584,6.346,1,1
C2_fake,6.593,4.758,1,0
C2_fake,3.180,4.910,0,0
C2_fake,5.132,6.478,0,0
C2_fake,3.555,4.166,1,1
C2_fake,5.222,3.471,0,0
C2_fake,4.556,4.062,1,0
C2_fake,2.686,5.143,0,0
C2_fake,5.721,2.721,1,0
C2_fake,4.034,5.365,1,0
C2_fake,4.113,3.953,1,0
