condition,trust,perceived_verif,confidence,adopt_wrong,clicked_source
C1_none,1.695,1.567,4.008,0,0
C1_none,2.858,2.653,3.397,1,0
C1_none,2.311,1.0,4.976,0,0
C1_none,2.822,3.866,5.503,1,0
C1_none,3.95,3.07,4.52,0,0
C1_none,1.625,2.093,5.299,1,0
C1_none,2.444,2.072,4.048,1,0
C1_none,1.173,2.719,2.44,1,0
C1_none,3.27,2.119,3.797,0,0
C1_none,3.496,2.163,3.524,1,0
C1_none,3.791,3.156,4.214,0,0
C1_none,5.657,2.94,5.346,0,0
C1_none,3.732,2.333,3.678,0,0
C1_none,2.123,2.31,4.003,0,0
C1_none,5.292,2.569,4.924,0,0
C1_none,1.92,1.755,3.436,1,0
C1_none,3.461,1.976,3.634,0,0
C1_none,3.822,2.976,4.511,0,0
C1_none,2.157,2.263,4.773,1,0
C1_none,3.586,1.0,3.906,0,0
C1_none,3.061,1.899,3.672,1,0
C1_none,3.721,3.089,4.306,0,0
C1_none,2.288,2.156,4.335,1,0
C1_none,4.005,2.244,4.047,1,0
C1_none,2.498,3.074,3.882,1,0
C1_none,2.214,4.316,3.902,1,0
C1_none,3.872,1.651,3.583,1,0
C1_none,3.164,3.816,4.154,0,0
C1_none,2.48,1.108,3.698,0,0
C1_none,4.668,2.584,5.894,0,0
C1_none,3.435,1.172,3.942,1,0
C1_none,4.065,3.819,4.86,0,0
C1_none,4.22,3.276,4.832,1,0
C1_none,2.819,3.595,3.326,0,0
C1_none,3.228,1.47,3.311,0,0
C1_none,4.191,3.119,4.166,0,0
C1_none,3.384,1.855,4.875,0,0
C1_none,2.594,1.92,3.712,0,0
C1_none,1.0,2.932,3.295,0,0
C1_none,3.802,3.321,2.116,1,0
C1_none,3.144,2.615,3.974,0,0
C1_none,2.382,1.741,4.374,0,0
C1_none,3.275,1.533,4.676,1,0
C1_none,3.792,3.917,4.778,0,0
C1_none,3.383,3.024,4.082,0,0
C1_none,2.001,3.156,3.859,1,0
C1_none,2.637,4.693,4.846,0,0
C1_none,2.932,1.543,4.137,1,0
C1_none,4.1,5.087,2.659,0,0
C1_none,4.401,5.708,5.384,0,0
C1_none,3.781,4.099,3.57,1,0
C1_none,3.657,3.268,5.505,1,0
C1_none,2.712,1.703,5.552,1,0
C1_none,3.512,3.444,4.983,1,0
C1_none,2.992,1.935,4.981,0,0
C1_none,3.741,2.377,5.909,1,0
C1_none,2.401,2.095,3.246,1,0
C1_none,3.748,2.698,4.628,1,0
C1_none,4.042,3.752,4.68,0,0
C1_none,2.816,1.817,3.446,1,0
C1_none,2.142,1.365,5.681,1,0
C1_none,2.853,1.347,3.763,1,0
C1_none,3.288,1.383,3.738,0,0
C1_none,1.486,1.0,4.141,1,0
C1_none,2.629,1.441,5.003,1,0
C1_none,3.558,3.758,3.902,0,0
C1_none,2.149,1.777,3.593,0,0
C1_none,2.542,2.67,4.562,0,0
C1_none,1.13,1.122,2.708,1,0
C1_none,2.094,2.578,3.443,1,0
C1_none,1.093,1.0,3.17,1,0
C1_none,2.142,1.666,3.724,1,0
C1_none,3.431,4.767,4.241,1,0
C1_none,2.255,1.788,5.571,0,0
C1_none,3.746,3.576,5.15,1,0
C1_none,2.992,2.878,4.276,0,0
C1_none,2.276,2.239,3.921,0,0
C1_none,2.073,1.715,4.755,0,0
C1_none,2.539,3.751,4.501,0,0
C1_none,2.719,2.214,4.911,1,0
C1_none,3.42,4.004,5.457,1,0
C1_none,4.038,1.645,3.682,0,0
C1_none,4.288,2.46,2.741,0,0
C1_none,4.412,2.889,4.553,1,0
C1_none,4.884,2.792,4.738,1,0
C1_none,1.407,1.105,4.139,1,0
C1_none,3.253,1.703,3.837,1,0
C1_none,3.525,2.194,4.189,0,0
C1_none,3.006,1.504,4.708,0,0
C1_none,5.052,3.111,5.202,0,0
C1_none,5.364,3.017,5.845,1,0
C1_none,3.232,1.0,2.578,0,0
C1_none,2.955,1.0,2.931,0,0
C1_none,1.468,1.054,5.092,1,0
C1_none,2.057,2.523,4.539,0,0
C1_none,4.409,4.535,5.205,0,0
C1_none,2.735,1.999,3.974,1,0
C1_none,1.934,2.663,3.646,1,0
C1_none,2.408,1.284,4.29,1,0
C1_none,2.826,1.301,3.47,1,0
C1_none,3.196,1.0,3.079,1,0
C1_none,2.857,2.37,3.34,1,0
C1_none,3.129,3.395,4.382,1,0
C1_none,2.815,2.025,4.729,1,0
C1_none,3.694,3.866,5.734,0,0
C1_none,2.054,2.608,4.349,0,0
C1_none,3.653,2.362,4.782,0,0
C1_none,5.039,2.943,6.059,0,0
C1_none,3.857,2.912,3.827,0,0
C1_none,2.211,3.605,3.319,1,0
C1_none,2.704,1.558,3.764,1,0
C1_none,1.0,1.0,3.743,0,0
C1_none,1.453,2.52,5.538,0,0
C1_none,3.263,1.758,4.039,1,0
C1_none,3.015,2.371,5.309,0,0
C1_none,3.075,4.148,3.898,1,0
C1_none,1.0,1.242,4.213,0,0
C1_none,2.203,3.203,4.63,1,0
C1_none,3.495,3.393,4.795,0,0
C1_none,3.181,2.884,4.901,0,0
C1_none,4.016,3.574,3.932,0,0
C1_none,4.062,1.919,5.659,1,0
C1_none,2.385,1.684,4.91,1,0
C1_none,3.795,3.491,3.873,0,0
C1_none,3.145,3.156,4.697,0,0
C1_none,3.122,3.86,3.428,0,0
C1_none,2.841,2.623,4.301,1,0
C1_none,4.459,4.105,3.644,0,0
C1_none,1.967,2.104,4.608,1,0
C1_none,3.485,1.287,6.738,0,0
C1_none,3.656,1.0,5.581,0,0
C1_none,2.528,1.244,4.741,1,0
C1_none,3.52,3.259,3.652,0,0
C1_none,1.2,1.0,4.168,0,0
C1_none,4.776,1.925,5.598,1,0
C1_none,4.677,4.612,4.558,0,0
C1_none,3.462,3.289,4.465,1,0
C1_none,3.761,4.281,3.072,0,0
C1_none,2.927,1.359,3.56,1,0
C1_none,1.846,1.0,2.528,1,0
C1_none,3.838,3.992,5.976,1,0
C1_none,1.615,1.0,4.333,0,0
C1_none,3.421,2.495,4.932,1,0
C1_none,2.475,2.628,3.982,1,0
C1_none,3.323,1.404,3.162,1,0
C1_none,3.51,4.03,4.513,1,0
C1_none,3.839,4.027,3.935,0,0
C1_none,5.708,2.979,4.08,1,0
C1_none,3.631,2.369,4.443,0,0
C1_none,3.268,2.601,4.407,0,0
C2_fake,6.154,5.455,4.407,1,0
C2_fake,4.73,5.55,4.837,1,0
C2_fake,3.178,4.139,5.415,1,0
C2_fake,4.092,6.061,4.996,1,0
C2_fake,4.921,5.565,5.783,1,0
C2_fake,4.4,4.47,3.006,1,0
C2_fake,3.954,5.358,4.253,0,0
C2_fake,2.587,2.863,4.568,0,0
C2_fake,5.368,4.324,4.997,1,0
C2_fake,4.093,4.864,2.987,1,0
C2_fake,4.127,4.589,5.389,1,0
C2_fake,4.598,6.752,4.888,1,0
C2_fake,5.509,4.926,4.439,1,0
C2_fake,5.292,4.985,5.722,0,0
C2_fake,2.764,3.206,2.825,1,0
C2_fake,4.046,4.403,4.081,0,0
C2_fake,3.077,3.777,4.984,1,0
C2_fake,6.726,7.0,5.381,1,0
C2_fake,4.392,4.164,4.387,0,0
C2_fake,4.002,4.725,4.357,1,0
C2_fake,4.414,5.877,4.384,0,0
C2_fake,4.928,5.289,5.378,0,0
C2_fake,3.388,3.118,4.102,0,0
C2_fake,5.769,5.27,5.412,1,0
C2_fake,3.701,5.346,2.745,1,0
C2_fake,3.064,4.409,5.258,1,0
C2_fake,5.584,5.088,6.782,1,0
C2_fake,3.872,4.71,4.852,0,1
C2_fake,4.815,3.145,4.59,0,0
C2_fake,4.701,4.008,4.206,1,0
C2_fake,3.044,4.622,4.83,0,0
C2_fake,3.426,3.984,3.833,0,0
C2_fake,4.458,5.166,3.926,1,0
C2_fake,4.423,5.652,2.87,1,0
C2_fake,4.562,4.887,4.798,1,0
C2_fake,3.513,4.209,4.14,1,0
C2_fake,4.69,6.031,4.443,0,0
C2_fake,5.099,4.744,4.72,0,0
C2_fake,5.471,4.971,4.237,1,0
C2_fake,3.198,3.798,4.453,0,0
C2_fake,3.901,4.371,3.594,1,0
C2_fake,4.501,5.648,4.498,1,0
C2_fake,3.355,5.381,4.113,1,0
C2_fake,4.909,4.404,3.313,1,0
C2_fake,4.673,4.609,3.659,0,0
C2_fake,4.717,4.809,4.164,0,0
C2_fake,3.701,3.612,3.964,1,0
C2_fake,4.852,4.405,4.875,0,1
C2_fake,4.794,4.063,4.331,0,0
C2_fake,4.594,3.145,4.57,1,0
C2_fake,4.109,4.76,4.177,0,0
C2_fake,4.427,4.449,2.502,0,0
C2_fake,3.245,3.063,4.215,1,0
C2_fake,3.582,3.765,3.714,1,0
C2_fake,4.988,4.509,4.569,0,0
C2_fake,3.021,1.564,3.652,1,0
C2_fake,4.137,4.793,5.035,1,0
C2_fake,4.815,4.88,4.623,1,0
C2_fake,5.028,5.281,5.273,0,0
C2_fake,3.299,3.975,4.951,0,0
C2_fake,3.042,3.106,3.816,1,0
C2_fake,5.059,5.26,5.365,0,0
C2_fake,4.06,3.156,4.676,0,0
C2_fake,4.239,5.168,3.686,1,0
C2_fake,4.923,3.891,4.59,1,0
C2_fake,3.681,3.537,4.485,1,0
C2_fake,2.672,4.909,5.204,0,1
C2_fake,3.985,5.778,4.198,1,0
C2_fake,2.871,4.435,5.488,0,1
C2_fake,5.061,4.342,5.329,0,1
C2_fake,3.91,2.827,2.769,0,0
C2_fake,4.64,5.473,3.792,0,1
C2_fake,2.251,4.677,4.564,1,1
C2_fake,2.82,4.315,3.056,1,0
C2_fake,4.611,5.974,4.995,1,0
C2_fake,2.019,2.954,5.15,1,1
C2_fake,4.779,4.07,4.437,1,0
C2_fake,4.105,4.605,5.629,1,0
C2_fake,3.944,4.29,5.527,1,1
C2_fake,3.113,2.042,4.24,1,0
C2_fake,3.529,4.967,4.35,1,0
C2_fake,3.291,4.568,4.469,1,0
C2_fake,3.001,5.661,4.616,0,0
C2_fake,5.067,6.742,3.469,1,0
C2_fake,4.456,4.403,4.464,0,0
C2_fake,4.15,5.004,3.174,1,0
C2_fake,4.056,4.866,4.216,1,1
C2_fake,3.462,4.778,4.186,1,0
C2_fake,4.345,4.455,3.102,0,0
C2_fake,2.269,5.006,3.088,0,0
C2_fake,3.725,5.785,4.101,1,0
C2_fake,3.274,3.708,6.048,0,1
C2_fake,4.556,6.596,3.493,1,0
C2_fake,4.588,5.132,4.709,0,0
C2_fake,4.154,4.918,3.799,1,1
C2_fake,3.378,2.238,4.043,1,0
C2_fake,5.244,4.589,5.542,1,0
C2_fake,4.946,3.575,4.937,1,0
C2_fake,4.982,5.203,5.037,0,0
C2_fake,5.653,5.603,5.235,1,1
C2_fake,6.143,5.807,5.412,1,0
C2_fake,4.435,4.425,2.846,1,0
C2_fake,2.97,4.522,4.562,1,0
C2_fake,5.228,5.059,4.682,0,0
C2_fake,2.463,2.397,4.46,0,0
C2_fake,5.59,4.145,5.499,0,0
C2_fake,5.428,4.03,5.127,1,0
C2_fake,3.968,5.147,5.025,1,0
C2_fake,3.063,4.12,3.337,1,0
C2_fake,3.917,5.381,4.82,0,0
C2_fake,4.054,4.398,4.404,1,0
C2_fake,5.638,5.498,4.771,1,0
C2_fake,4.072,6.929,5.536,0,0
C2_fake,5.594,6.236,4.44,1,0
C2_fake,2.829,5.594,3.689,1,0
C2_fake,5.702,5.802,3.804,1,0
C2_fake,3.984,4.216,4.24,1,0
C2_fake,4.036,3.791,5.344,1,0
C2_fake,3.744,3.712,3.09,1,0
C2_fake,5.068,4.806,4.916,0,0
C2_fake,5.124,6.147,2.701,0,0
C2_fake,5.318,3.834,4.218,1,0
C2_fake,2.877,5.092,4.583,0,0
C2_fake,2.897,3.29,3.806,1,0
C2_fake,2.535,3.323,3.196,0,0
C2_fake,5.16,5.501,4.441,1,0
C2_fake,2.467,3.879,4.934,0,0
C2_fake,5.956,3.849,6.104,0,0
C2_fake,5.098,6.674,5.931,0,0
C2_fake,5.258,4.672,5.302,1,0
C2_fake,3.35,4.553,4.625,1,0
C2_fake,4.26,4.359,5.326,1,0
C2_fake,4.895,5.036,3.752,1,1
C2_fake,3.292,3.857,3.549,1,0
C2_fake,4.02,4.66,5.518,1,0
C2_fake,5.97,5.741,5.598,0,0
C2_fake,5.132,4.263,5.429,1,0
C2_fake,3.683,2.102,4.588,1,1
C2_fake,5.591,3.912,4.17,0,0
C2_fake,2.859,5.406,3.365,0,0
C2_fake,4.908,5.777,5.43,1,0
C2_fake,4.019,4.982,5.35,1,0
C2_fake,6.0,6.099,4.024,1,0
C2_fake,4.697,3.508,4.042,0,0
C2_fake,5.721,5.943,4.776,1,0
C2_fake,3.771,4.82,5.129,0,0
C2_fake,4.951,5.31,4.417,1,0
C2_fake,3.907,1.597,3.778,1,0
C2_fake,5.668,5.537,5.638,0,0
C2_fake,3.5,4.845,4.848,1,0
C3_real,2.636,4.039,4.971,0,0
C3_real,4.131,4.107,4.256,0,0
C3_real,4.12,5.184,5.427,1,0
C3_real,5.225,5.105,3.949,1,1
C3_real,4.346,5.067,5.181,1,0
C3_real,5.715,6.494,5.052,0,1
C3_real,3.314,4.791,5.037,1,0
C3_real,4.948,5.55,4.289,0,1
C3_real,5.201,5.44,5.069,0,1
C3_real,5.137,5.245,4.092,1,1
C3_real,4.382,5.512,4.266,1,0
C3_real,2.967,3.263,4.043,1,1
C3_real,5.626,4.499,4.342,0,0
C3_real,4.745,6.236,4.24,0,1
C3_real,3.315,4.772,3.34,0,0
C3_real,4.564,5.812,4.492,0,0
C3_real,4.928,5.575,5.831,0,0
C3_real,2.573,1.888,6.424,0,0
C3_real,4.253,3.706,3.856,1,0
C3_real,4.936,4.382,4.07,1,0
C3_real,4.134,4.366,4.767,1,0
C3_real,5.126,4.609,5.117,0,0
C3_real,4.179,4.627,3.478,0,0
C3_real,3.72,4.225,2.568,1,1
C3_real,5.521,4.38,5.013,1,1
C3_real,4.174,3.029,5.577,1,0
C3_real,5.323,7.0,5.898,0,0
C3_real,3.522,6.535,4.36,1,0
C3_real,3.66,5.994,5.509,0,0
C3_real,3.014,4.988,4.12,0,0
C3_real,4.042,4.119,3.366,0,0
C3_real,5.205,7.0,4.631,1,1
C3_real,4.414,4.085,5.391,0,0
C3_real,5.935,6.575,5.002,1,0
